,filename,artist,title
436,37256.jpg,Claude Monet,Gardener's House at Antibes
506,3016.jpg,Pierre-Auguste Renoir,Ambroise Vollard Portrait
944,28824.jpg,Claude Monet,Haystacks
1067,16139.jpg,Claude Monet,Vetheuil
1217,11233.jpg,Claude Monet,Rouen Cathedral
1300,15562.jpg,Claude Monet,"Rouen Cathedral, evening, harmony in brown"
1330,37160.jpg,Claude Monet,"Weeping Willow, Giverny"
1418,25299.jpg,Camille Pissarro,The Hermitage at Pontoise
1427,3603.jpg,Pierre-Auguste Renoir,By the Water (Near the Lake)
1523,38252.jpg,Claude Monet,Trees in Bloom
1531,34888.jpg,Claude Monet,The Church at Varengeville
1533,11308.jpg,Claude Monet,The Promenade near Limetz
1653,12934.jpg,Jean-Baptiste-Camille Corot,In the Forest of Fontainebleau
1658,32599.jpg,Jean-Baptiste-Camille Corot,Young Girl Reading
1660,36748.jpg,Jean-Baptiste-Camille Corot,Bridge on the Saône River at Mâcon
2064,32232.jpg,Claude Monet,Jeanne-Marguerite Lecadre in the Garden
2115,39796.jpg,Claude Monet,Poplars at Giverny
2121,29122.jpg,Boris Kustodiev,Portrait of Fyodor Chaliapin  
2294,38023.jpg,Jean-Baptiste-Camille Corot,La Zingara
2663,11704.jpg,Claude Monet,Woman Sitting under the Willows
2675,34183.jpg,Claude Monet,The Boats Regatta at Argenteuil
3080,2238.jpg,Claude Monet,The Seine at Vetheuil 
3092,38424.jpg,Claude Monet,The Willows
3245,25088.jpg,Pierre-Auguste Renoir,Pont Neuf
3307,27026.jpg,Claude Monet,Meadows in Giverny
3311,17440.jpg,Pierre-Auguste Renoir,Portrait of Charles and Georges Durand Ruel
3521,34872.jpg,Claude Monet,"Antibes, Afternoon Effect"
3547,18116.jpg,Claude Monet,"Venice, Rio de Santa Salute"
3570,29003.jpg,Claude Monet,"Rocks at Port Coton, the Lion Rock"
3659,32147.jpg,Pierre-Auguste Renoir,Still Life with Fruit
3701,25383.jpg,Claude Monet,Antibes Seen from the Salis Gardens 01
3833,31803.jpg,Claude Monet,Meadow with Poplars
3851,100211.jpg,Claude Monet,"Morning on the Seine, near Vetheuil"
4048,103186.jpg,Claude Monet,The Church at Varengeville and the Gorge of Les Moutiers
4373,22486.jpg,Claude Monet,The Seine at Lavacourt
4396,1016.jpg,Claude Monet,San Giorgio Maggiore at Dusk
4531,37836.jpg,Claude Monet,The Japanis Bridge (Footbridge over the Water-Lily Pond)
4617,39000.jpg,Ilya Repin,Unexpected Visitors
4654,37778.jpg,Claude Monet,The Small Arm of the Seine at Argenteuil
4702,18532.jpg,Jean-Baptiste-Camille Corot,The Augustan Bridge at Narni
4754,32711.jpg,Jean-Baptiste-Camille Corot,The Woman in Blue
4986,2298.jpg,Claude Monet,"Vetheuil, The Church  in Winter"
5085,35495.jpg,Claude Monet,Strada Romada in Bordighera
5186,11876.jpg,Claude Monet,The Japanis Bridge (Footbridge over the Water-Lily Pond)
5277,17668.jpg,Claude Monet,"The Manneport, Seen from Below"
5290,22156.jpg,Claude Monet,Argenteuil
5405,3351.jpg,Claude Monet,Vetheuil
5612,13540.jpg,Claude Monet,Water Lily Pond
5665,287.jpg,Claude Monet,Water Lilies
5677,17270.jpg,Claude Monet,"Path at La Cavee, Pourville"
5720,14191.jpg,Claude Monet,Fisherman's Cottage at Varengeville
5733,21954.jpg,Claude Monet,"Rouen Cathedral, West Facade, Noon"
5747,17656.jpg,Ilya Repin,Sadko
5832,17411.jpg,Claude Monet,"Boulevard Saint-Denis, Argenteuil, in Winter"
5993,13631.jpg,Claude Monet,"The Havre, the trade bassin"
6119,11535.jpg,Claude Monet,The Seine near Argenteuil
6141,102294.jpg,Jean-Baptiste-Camille Corot,Woman with Daisies
6143,17819.jpg,Claude Monet,The Pond at Montgeron
6175,14364.jpg,Claude Monet,Argenteuil. Yachts 02
6275,36972.jpg,Claude Monet,Cliff at Grainval
6279,20627.jpg,Jean-Baptiste-Camille Corot,The Church at Marissel
6437,38074.jpg,Claude Monet,The Valley of the Nervia with Dolceacqua
6460,100897.jpg,Claude Monet,River Scene at Bennecourt
6518,1363.jpg,Pierre-Auguste Renoir,Jeanne Samary
6528,10102.jpg,Claude Monet,The Big Blue Sea in Antibes
6565,20947.jpg,Jean-Baptiste-Camille Corot,Femme de Chanbre
6567,28804.jpg,Claude Monet,The Boat Studio
6570,10329.jpg,Claude Monet,The Garden at Vetheuil
6583,28735.jpg,Claude Monet,Antibes in the Morning
6759,30420.jpg,Claude Monet,"The Grand Canal, Venice"
6804,37539.jpg,Claude Monet,Juan-les-Pins
6930,34887.jpg,Claude Monet,Fields of Tulip With The Rijnsburg Windmill
6933,23236.jpg,Claude Monet,The Spring at Vetheuil
7004,25619.jpg,Claude Monet,Poppy Field
7010,13202.jpg,Pierre-Auguste Renoir,Jeanne Samary in a Low Necked Dress
7128,36789.jpg,Jean-Baptiste-Camille Corot,"Portrait of Louise Claire Sennegon, future Madame Charmois"
7170,38185.jpg,Claude Monet,"Breakup of Ice, Lavacourt, Grey Weather"
7179,1475.jpg,Camille Pissarro,"Orchard in Blossom, Louveciennes"
7184,28468.jpg,Pierre-Auguste Renoir,Oarsmen at Chatou
7226,23945.jpg,Pierre-Auguste Renoir,Lady in a Black Dress
7234,28953.jpg,Claude Monet,Bathers at La Grenouillere
7250,18043.jpg,Pierre-Auguste Renoir,Bather arranging her Hair
7252,16405.jpg,Claude Monet,The Mount Riboudet in Rouen at Spring
7267,2647.jpg,Claude Monet,Landscape at Giverny
7305,28815.jpg,Claude Monet,The Sea at Saint-Adresse
7344,22452.jpg,Claude Monet,"Port d`Aval, Rough Sea"
7396,21109.jpg,Pierre-Auguste Renoir,Two girls in black
7456,13301.jpg,Claude Monet,"Grainstacks, White Frost Effect"
7464,37229.jpg,Claude Monet,"View from the Cliff at Pourville, Bright Weather"
7466,23128.jpg,Claude Monet,Water Lilies
7484,37640.jpg,Claude Monet,Camille and Jean Monet in the Garden at Argenteuil
7492,27608.jpg,Claude Monet,"The Seine at Port Villez, Snow Effect"
7506,21080.jpg,Claude Monet,The Red Road near Menton
7539,3584.jpg,Claude Monet,Leicester Square at Night
7546,383.jpg,Camille Pissarro,"Boulevard des Italiens Morning, Sunlight"
7547,37178.jpg,Claude Monet,Springtime in Vetheuil
7572,13201.jpg,Claude Monet,"Houses of Parliament, Westminster"
7596,35451.jpg,Claude Monet,"The Summer, Poppy Field"
7612,1062.jpg,Claude Monet,Path at Pourville 02
7639,1508.jpg,Jean-Baptiste-Camille Corot,Town and Lake Como
7658,24353.jpg,Claude Monet,Charing Cross Bridge 03
7677,2693.jpg,Claude Monet,"Grainstack in the Morning, Snow Effect"
